Download Labels,Etiketten herunterladen
Newsletter unsubscription success,Newsletter Abmeldung Erfolg
New Vendor Product Approval Notification,Neue Lieferanten-Produktzulassungsbenachrichtigung
The following Product is Approve by site administrator,Das folgende Produkt wird vom Site-Administrator genehmigt
Identity Proof request from,Identitätsnachweis von
First Name,Vorname
Last Name,Nachname
Application Confirmation from,Antragsbestätigung von
Account confirmation for,Kontobestätigung für
Application Rejected at,Anwendung abgelehnt bei
Your application request was rejected,Ihre Bewerbungsanträge wurden abgelehnt
due to the following reason,Aus folgendem Grund
has invited you to Join Cibilia.com as Vendor,"Hat Sie eingeladen, Cibilia.com als Verkäufer einzutragen"
Motivational Quote,Motivzitat
Regards,Mit freundlichen Grüßen
Verify Now,Jetzt bestätigen
Verification Link,Bestätigungslink
"To verify your information, click on the link below","Um Ihre Informationen zu überprüfen, klicken Sie auf den untenstehenden Link"
has invited you to Join Cibilia.com as Vendor. His Motivation Quote is as follows,"Hat Sie eingeladen, Cibilia.com als Verkäufer einzutragen.Sein Motivationszitat ist wie folgt"
Vendor Type Selection Email  for,Vendor Type Selection E-Mail für
to select  your vendor type,Um Ihren Vendertyp auszuwählen
Product Sku,Produkt SKU
Product Name,Produktname
The following Cibilian Product is Approve by site administrator,Das folgende Cibilian-Produkt ist von der Website-Administrator genehmigt
Identity Proof Approval for,Identitätsnachweis für
Identity Proof request from,Identitätsnachweis von
Your Identity Proof has been approved,Ihr Identitätsnachweis wurde genehmigt
Product Approval Notification,Produktzulassungsbenachrichtigung
Cibilian Name,Cibilian Name
Cibilian Email,Cibilian Email
Withdrawl request from,Rücknahme von Anfrage ab
has submitted withdrawal request for amount,Hat einen Widerrufsantrag gestellt
Vendor Type Updated for,Vendor Type Aktualisiert für
has updated their vendor type as,Hat ihren Vendertyp als aktualisiert
Payment Transaction Failed Reminder,Zahlungsvorgang fehlgeschlagene Erinnerung
Contact Form,Kontakt-Formular
Products price changed alert,Produkte Preis geändert Warnung
Products back in stock alert,Produkte wieder auf Lager Alert
New Shipment Request for Order,Neuer Versandauftrag zur Bestellung
From,Von
Update,Aktualisieren 
Vendor password reset instructions from,Vendor Passwort zurücksetzen Anweisungen von
Statement for,Aussage für
Low stock products notification,Niedrige Lager Produkt-Benachrichtigung
Question replied by vendor,Frage beantwortet vom Verkäufer
New Question,Neue Frage
for Shipment #,zum Versand #
for Product,Für Produkt
Question replied by vendor,Frage beantwortet vom Verkäufer
Approved products notification,Zugelassene Produktbenachrichtigung
Approved products notification for,Zugelassene Produktbenachrichtigung für
Fix products notification,Fix Produkte Benachrichtigung
Fix products notification for,Fix Produkte Benachrichtigung für
Pending products notification,Ausstehende Produktbenachrichtigung
Pending products notification for,Ausstehende Produktbenachrichtigung für
Account confirmation for,Kontobestätigung für 
At,Bei
Application Rejected at,Anwendung abgelehnt bei
Origin of raw materials,Herkunft der Rohstoffe

